Cohort,Species,Mark,Date,Year,Month,Sector,Run,Length,Weight,Age,Sex,adc,Tag_loss,Adip,Remark,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor,Stream,Pop,Pop_ind
C08,MT,11870,6/14/2010,2010,6,1,2,168,48,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11870,LIdri,LIdri_MT,3
C08,MT,11870,9/22/2010,2010,9,1,2,180,55,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11870,LIdri,LIdri_MT,3
C08,MT,11871,6/14/2010,2010,6,1,2,135,25,2,NA,1,NA,NA,NA,2008,2008,C08,2,11871,LIdri,LIdri_MT,3
C08,MT,11871,6/20/2011,2011,6,1,2,162,42,3,NA,NA,NA,50,NA,2008,2008,C08,3,11871,LIdri,LIdri_MT,3
C08,MT,11871,9/12/2011,2011,9,1,1,174,56,3,NA,NA,NA,NA,NA,2008,2008,C08,3,11871,LIdri,LIdri_MT,3
C08,MT,11881,6/14/2010,2010,6,1,1,138,27,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11881,LIdri,LIdri_MT,3
C08,MT,11883,6/14/2010,2010,6,1,1,162,43,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11883,LIdri,LIdri_MT,3
C08,MT,11883,9/12/2011,2011,9,1,1,218,107,3,NA,NA,NA,NA,NA,2008,2008,C08,3,11883,LIdri,LIdri_MT,3
C08,MT,11901,6/14/2010,2010,6,1,2,158,37,2,NA,1,NA,NA,NA,2008,2008,C08,2,11901,LIdri,LIdri_MT,3
C08,MT,11901,9/22/2010,2010,9,1,1,166,38,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11901,LIdri,LIdri_MT,3
C08,MT,17291,6/20/2011,2011,6,1,2,188,58,3,NA,1,NA,51,NA,2008,2008,C08,3,11901,LIdri,LIdri_MT,3
C08,MT,NA,9/7/2009,2009,9,1,1,104,11,1,NA,NA,NA,R618,NA,2008,2008,C08,1,11905,LIdri,LIdri_MT,3
C08,MT,11905,6/14/2010,2010,6,1,1,129,22,2,NA,1,NA,NA,NA,2008,2008,C08,2,11905,LIdri,LIdri_MT,3
C08,MT,11905,9/22/2010,2010,9,1,1,146,31,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11905,LIdri,LIdri_MT,3
C08,MT,11905,9/12/2011,2011,9,1,1,175,55,3,NA,NA,NA,NA,NA,2008,2008,C08,3,11905,LIdri,LIdri_MT,3
C08,MT,11911,6/14/2010,2010,6,1,1,186,64,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11911,LIdri,LIdri_MT,3
C08,MT,11911,6/20/2011,2011,6,1,1,224,117,3,NA,NA,NA,10,NA,2008,2008,C08,3,11911,LIdri,LIdri_MT,3
C08,MT,11911,9/12/2011,2011,9,1,1,235,138,3,NA,NA,NA,NA,NA,2008,2008,C08,3,11911,LIdri,LIdri_MT,3
C08,MT,11920,6/14/2010,2010,6,1,1,145,30,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11920,LIdri,LIdri_MT,3
C08,MT,NA,6/15/2009,2009,6,1,1,114,15.2,1,NA,NA,NA,R539,NA,2008,2008,C08,1,11924,LIdri,LIdri_MT,3
C08,MT,11924,6/14/2010,2010,6,1,1,153,40,2,NA,1,NA,NA,NA,2008,2008,C08,2,11924,LIdri,LIdri_MT,3
C08,MT,11924,9/22/2010,2010,9,1,1,171,53,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11924,LIdri,LIdri_MT,3
C08,MT,11924,6/20/2011,2011,6,1,1,193,76,3,NA,NA,NA,NA,NA,2008,2008,C08,3,11924,LIdri,LIdri_MT,3
C08,MT,11941,6/14/2010,2010,6,1,1,149,32,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11941,LIdri,LIdri_MT,3
C08,MT,NA,6/15/2009,2009,6,1,2,90,7,1,NA,NA,NA,R561,NA,2008,2008,C08,1,11956,LIdri,LIdri_MT,3
