Num,Mark,Date,Month,Year,Run,Sector,Length,Weight,Age,Cohort,Sex,adc,Tag_loss,Adip,Comment,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor
800,NA,9/18/13,9,2013,1,1,62,2.1,0,C13,NA,NA,NA,1407,NA,2013,2013,C13,0,1407
801,NA,9/18/13,9,2013,1,1,65,2.3,0,C13,NA,NA,NA,1408,NA,2013,2013,C13,0,1408
802,NA,9/18/13,9,2013,1,1,67,2.8,0,C13,NA,NA,NA,1409,NA,2013,2013,C13,0,1409
803,NA,9/18/13,9,2013,2,1,63,2.4,0,C13,NA,NA,NA,1410,NA,2013,2013,C13,0,1410
804,NA,9/18/13,9,2013,2,1,57,1.8,0,C13,NA,NA,NA,1411,NA,2013,2013,C13,0,1411
806,2627,9/18/13,9,2013,2,1,252,167.9,3,C10,NA,NA,NA,1412,NA,2010,2010,C10,3,1412
807,16493,9/18/13,9,2013,2,1,214,109.8,4,C09,NA,NA,NA,1413,NA,2009,2009,C09,4,1413
847,15900,9/2/14,9,2014,1,1,143,28,2,C12,NA,NA,NA,NA,NA,2012,2012,C12,2,15900
843,15902,9/2/14,9,2014,1,1,128,20.2,1,C13,NA,NA,NA,NA,NA,2013,2013,C13,1,15902
857,15906,9/2/14,9,2014,1,1,121,16.4,1,C13,NA,NA,NA,NA,NA,2013,2013,C13,1,15906
841,15907,9/2/14,9,2014,1,1,127,19.6,1,C13,NA,NA,NA,NA,NA,2013,2013,C13,1,15907
845,15908,9/2/14,9,2014,1,1,132,21.5,1,C13,NA,NA,NA,NA,NA,2013,2013,C13,1,15908
839,15911,9/2/14,9,2014,1,1,155,37.2,2,C12,NA,NA,NA,NA,NA,2012,2012,C12,2,15911
851,15912,9/2/14,9,2014,1,1,120,17.3,1,C13,NA,NA,NA,NA,NA,2013,2013,C13,1,15912
876,15913,9/2/14,9,2014,1,1,195,81.3,3,C11,NA,NA,NA,NA,NA,2011,2011,C11,3,15913
