Num,Mark,Date,Year,Month,Run,Sector,Length,Weight,Age,Cohort,Sex,adc,Tag_loss,Adip,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor
2,12150,9/14/06,2006,9,1,2,298,245,5,C01,NA,1,NA,NA,2001,2001,C01,5,12150
26,12151,9/14/06,2006,9,1,2,145,27.4,1,C05,NA,NA,NA,NA,2005,2005,C05,1,12151
27,12152,9/14/06,2006,9,1,2,151,31.8,1,C05,NA,NA,NA,NA,2005,2005,C05,1,12152
20,12153,9/14/06,2006,9,1,2,150,31.9,1,C05,NA,NA,NA,NA,2005,2005,C05,1,12153
24,12154,9/14/06,2006,9,1,2,197,73.2,3,C03,NA,1,NA,NA,2003,2003,C03,3,12154
90,12154,9/12/07,2007,9,1,2,245,123.6,4,C03,NA,NA,NA,NA,2003,2003,C03,4,12154
41,12155,9/14/06,2006,9,1,2,173,46.4,2,C04,NA,1,NA,NA,2004,2004,C04,2,12155
65,12156,9/14/06,2006,9,1,2,125,18.4,1,C05,NA,NA,NA,NA,2005,2005,C05,1,12156
25,12157,9/14/06,2006,9,1,2,168,43.9,2,C04,NA,1,NA,NA,2004,2004,C04,2,12157
96,12157,9/12/07,2007,9,1,2,210,83.6,3,C04,NA,NA,NA,NA,2004,2004,C04,3,12157
3,12158,9/14/06,2006,9,1,2,166,43.5,3,C03,NA,NA,NA,NA,2003,2003,C03,3,12158
1,12159,9/14/06,2006,9,1,2,178,56,2,C04,NA,NA,NA,NA,2004,2004,C04,2,12159
85,12159,9/12/07,2007,9,1,2,225,102.6,3,C04,NA,NA,NA,NA,2004,2004,C04,3,12159
51,12160,9/14/06,2006,9,1,2,150,31.3,1,C05,NA,1,NA,NA,2005,2005,C05,1,12160
50,12161,9/14/06,2006,9,1,2,238,119.2,5,C01,NA,1,NA,NA,2001,2001,C01,5,12161
57,12162,9/14/06,2006,9,1,2,146,29.1,2,C04,NA,NA,NA,NA,2004,2004,C04,2,12162
42,12164,9/14/06,2006,9,1,2,177,49.9,2,C04,NA,1,NA,NA,2004,2004,C04,2,12164
43,12165,9/14/06,2006,9,1,2,154,35.3,1,C05,NA,NA,NA,NA,2005,2005,C05,1,12165
116,12165,9/12/07,2007,9,1,2,193,62.8,2,C05,NA,NA,NA,NA,2005,2005,C05,2,12165
46,12166,9/14/06,2006,9,1,2,267,177.1,6,C00,NA,1,NA,NA,2000,2000,C00,6,12166
55,12169,9/14/06,2006,9,1,2,156,37.3,2,C04,NA,1,NA,NA,2004,2004,C04,2,12169
4,12171,9/14/06,2006,9,1,2,171,46.6,3,C03,NA,NA,NA,NA,2003,2003,C03,3,12171
99,12171,9/12/07,2007,9,1,2,230,114.7,4,C03,NA,NA,NA,NA,2003,2003,C03,4,12171
5,12175,9/14/06,2006,9,1,2,184,59.7,3,C03,NA,NA,NA,NA,2003,2003,C03,3,12175
39,12180,9/14/06,2006,9,1,2,165,41.4,2,C04,NA,1,NA,NA,2004,2004,C04,2,12180
35,12181,9/14/06,2006,9,1,2,272,192.9,5,C01,NA,1,NA,NA,2001,2001,C01,5,12181
NA,NA,NA,2003,NA,NA,NA,NA,NA,NA,U,NA,NA,NA,Z_092003_015,NA,2001,C01,2,12182
38,12182,9/14/06,2006,9,1,2,280,210.5,5,C01,NA,1,NA,NA,2001,2001,C01,5,12182
106,12182,9/12/07,2007,9,1,2,281,182.9,6,C01,NA,NA,NA,NA,2001,2001,C01,6,12182
6,12183,9/14/06,2006,9,1,2,153,53.2,1,C05,NA,1,NA,NA,2005,2005,C05,1,12183
92,12183,9/12/07,2007,9,1,2,216,87,2,C05,NA,NA,NA,NA,2005,2005,C05,2,12183
37,12184,9/14/06,2006,9,1,2,342,383.5,7,C99,NA,NA,NA,NA,1999,1999,C99,7,12184
48,12185,9/14/06,2006,9,1,2,321,301.3,7,C99,NA,1,NA,NA,1999,1999,C99,7,12185
7,12186,9/14/06,2006,9,1,2,149,30.7,1,C05,NA,NA,NA,NA,2005,2005,C05,1,12186
152,12186,9/12/07,2007,9,2,2,190,61.7,2,C05,NA,NA,NA,NA,2005,2005,C05,2,12186
9,12187,9/14/06,2006,9,1,2,383,698.4,8,C98,NA,1,NA,NA,NA,NA,C98,8,12187
NA,NA,NA,2003,NA,NA,NA,NA,NA,NA,U,NA,NA,NA,Z_092003_011,NA,2000,C00,3,12188
36,12188,9/14/06,2006,9,1,2,290,206.2,6,C00,NA,1,NA,NA,2000,2000,C00,6,12188
47,12189,9/14/06,2006,9,1,2,138,24.9,1,C05,NA,NA,NA,NA,2005,2005,C05,1,12189
